Header,Cluster,Confidence,Source
"NR_118889.1 Amycolatopsis azurea strain NRRL 11412 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_118899.1 Actinomyces bovis strain DSM 43014 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_074334.1 Archaeoglobus fulgidus DSM 4304 16S ribosomal RNA, complete sequence >NR_118873.1 Archaeoglobus fulgidus DSM 4304 strain VC-16 16S ribosomal RNA, complete sequence >NR_119237.1 Archaeoglobus fulgidus DSM 4304 strain VC-16 16S ribosomal RNA, complete sequence",1,1.0,16S
"NR_118890.1 Actinokineospora fastidiosa strain ATCC 31181 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_044838.1 Atopobium minutum strain NCFB 2751 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_118908.1 Amycolatopsis methanolica 239 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_118900.1 Actinomyces naeslundii strain DSM 43013 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_044822.1 Pseudonocardia nitrificans strain IFAM 379 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_026088.1 Alloiococcus otitis strain NCFB 2890 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_026093.1 Lancefieldella parvula strain VPI 0546 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_037011.1 Aeromonas salmonicida subsp. achromogenes strain 6263/4/5 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_118949.1 Alkalihalobacillus alcalophilus ATCC 27647 = CGMCC 1.3604 strain DSM 485 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_118950.1 Bacillus amyloliquefaciens DSM 7 = ATCC 23350 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_118951.1 Schinkia azotoformans LMG 9581 strain ATCC 29788 16S ribosomal RNA, partial sequence",1,0.8678765871552945,16S
"NR_118952.1 Brevibacillus brevis strain NCIMB 9372 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_044824.1 Brochothrix campestris strain ATCC 43754 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_118953.1 Niallia circulans strain NCDO 1775 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_118954.1 Heyndrickxia coagulans strain NCDO 1761 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_118955.1 Cytobacillus firmus strain NCIMB 9366 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_118970.1 Psychrobacillus insolitus strain DSM 5 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_118956.1 Paenibacillus larvae strain ATCC 9545 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_118957.1 Brevibacillus laterosporus strain NCDO 1763 16S ribosomal RNA, partial sequence",-1,0.0,16S
"NR_118948.1 Lederbergia lenta strain NCDO 1127 16S ribosomal RNA, partial sequence",1,0.7043250946630198,16S
"NR_118959.1 Bacillus licheniformis strain NCDO 1772 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_118960.1 Paenibacillus macerans strain NCDO 1764 16S ribosomal RNA, partial sequence",1,0.8916278212252284,16S
"NR_118962.1 Priestia megaterium strain DSM 32 16S ribosomal RNA, partial sequence",1,0.9483480937974419,16S
"NR_118961.1 Virgibacillus pantothenticus strain NCDO 1765 16S ribosomal RNA, partial sequence",1,0.7287398623693699,16S
"NR_118963.1 Sporosarcina pasteurii strain NCIMB 8841 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_118965.1 Sporosarcina psychrophila strain ATCC 23304 16S ribosomal RNA, partial sequence",1,0.8059790991611481,16S
"NR_118966.1 Peribacillus psychrosaccharolyticus ATCC 23296 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_118967.1 Peribacillus simplex NBRC 15720 = DSM 1321 16S ribosomal RNA, partial sequence",1,0.8748851460008792,16S
"NR_118971.1 Bacillus smithii strain DSM 4216 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_118968.1 Geobacillus stearothermophilus strain NCDO 1768 16S ribosomal RNA, partial sequence",1,0.7321242326735045,16S
"NR_118972.1 Bacillus subtilis strain NCDO 1769 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_118969.1 Parageobacillus thermoglucosidasius strain ATCC 43742 16S ribosomal RNA, partial sequence",-1,0.0,16S
"NR_118906.1 Carnobacterium divergens strain NCDO 2763 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_118905.1 Carnobacterium gallinarum strain NCFB 2766 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_118907.1 Carnobacterium mobile strain NCFB 2765 16S ribosomal RNA, partial sequence",1,0.9396707636978912,16S
"NR_118924.1 Enterococcus columbae strain STR 345 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_027588.1 Fusobacterium gonidiaformans ATCC 25563 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_026084.1 Fusobacterium animalis strain NCTC 12276 16S ribosomal RNA, partial sequence >NR_117843.1 Fusobacterium animalis ATCC 51191 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_026083.1 Fusobacterium vincentii strain SOR 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_026085.1 Fusobacterium periodonticum strain EK1-15 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_176801.1 Fusobacterium russii strain ATCC 25533 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_044820.1 Fusobacterium ulcerans strain NCTC 12111 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_118911.1 Gemmata obscuriglobus strain UQM 2246 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_118891.1 Gordonia terrae strain DSM 43249 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_118878.1 Hirschia baltica ATCC 49814 strain IFAM 1418 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_118975.1 Ligilactobacillus animalis strain NCDO 2425 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_118976.1 Lacticaseibacillus casei strain NCDO 161 16S ribosomal RNA, partial sequence",1,0.6463024365008322,16S
"NR_119298.1 Leptothrix discophora strain SS-1 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_118877.1 Lactobacillus delbrueckii strain NCDO 213 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_118978.1 Limosilactobacillus fermentum strain NCDO 1750 16S ribosomal RNA, partial sequence",1,0.8738620560400945,16S
"NR_118921.1 Listeria grayi strain CIP 6818 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_029361.1 Leptospira interrogans strain RGA 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_118923.1 Listeria innocua strain NCTC 11288 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_118922.1 Listeria ivanovii strain NCTC 11846 16S ribosomal RNA, partial sequence",1,0.9707263710479387,16S
"NR_118943.1 Legionella maceachernii strain NCTC 11982 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_118910.1 Carnobacterium maltaromaticum strain JCM 1154 16S ribosomal RNA, partial sequence",1,0.9547017480896666,16S
"NR_118973.1 Limosilactobacillus oris strain NCDO 2160 16S ribosomal RNA, partial sequence",1,0.8347064595389139,16S
"NR_118903.1 Pseudolactococcus plantarum strain NCDO 1869 16S ribosomal RNA, partial sequence",1,0.9630986195313811,16S
"NR_118904.1 Pseudolactococcus raffinolactis strain NCDO 617 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_118919.1 Listeria seeligeri strain NCTC 11856 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_118974.1 Fructilactobacillus sanfranciscensis strain JCM 5668 16S ribosomal RNA, partial sequence",1,0.8616476266988404,16S
"NR_118876.1 Weissella viridescens strain NCDO 1655 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_118977.1 Limosilactobacillus vaginalis strain NCTC 12197 16S ribosomal RNA, partial sequence",1,0.8601231128010108,16S
"NR_118920.1 Listeria welshimeri strain NCTC 11857 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_029219.1 Mycolicibacterium aichiense strain 49005 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_118917.1 Mycobacterium asiaticum strain ATCC 25276 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_029217.1 Mycolicibacterium aurum strain 358 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_029220.1 Mycolicibacterium chitae strain 2502 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_118914.1 Mycolicibacterium chubuense strain ATCC 27278 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_044817.1 Mycobacterium cookii strain NZ2 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_118913.1 Mycolicibacterium diernhoferi strain ATCC 19340 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_044815.1 Mycolicibacterium flavescens strain ATCC 14474 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_118883.1 Mycolicibacterium fortuitum subsp. fortuitum DSM 46621 = ATCC 6841 = JCM 6387 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_118879.1 Mycobacterium gastri strain ATCC 15754 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_026087.1 Mycolicibacterium gadium strain 1066 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_118915.1 Mycolicibacterium gilvum strain ATCC 43909 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_044812.1 Mycobacterium gordonae strain ATCC 14470 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_026086.1 Mycolicibacterium komossense strain Ko2 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_044814.1 Mycobacterium malmoense strain ATCC 29571 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_044813.1 Mycolicibacter nonchromogenicus strain ATCC 19530 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_029218.1 Mycolicibacterium obuense strain 47001 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_026082.1 Mycobacterium avium subsp. paratuberculosis strain 5617 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_044811.1 Mycoplasmopsis synoviae strain WVU 1853 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_026080.1 Mycobacterium szulgai strain ATCC 35799 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_118881.1 Mycolicibacter terrae strain ATCC 15755 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_044821.1 Mycolicibacterium thermoresistibile strain ATCC 19527 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_118916.1 Mycolicibacterium vaccae strain ATCC 15483 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_118882.1 Mycobacterium xenopi strain ATCC 19250 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_118893.1 Nocardioides albus strain DSM 43109 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_118885.1 Aeromicrobium fastidiosum strain NCIB 12713 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_118894.1 Nocardioides jensenii strain DSM 20641 16S ribosomal RNA, partial sequence",1,0.940076358020317,16S
"NR_026078.1 Pseudomonas aeruginosa strain DSM 50071 16S ribosomal RNA, complete sequence",1,1.0,16S
"NR_044816.1 Propionibacterium freudenreichii strain DSM 20271 16S ribosomal RNA, partial sequence",1,0.9724061086079281,16S
"NR_044827.1 Plesiomonas shigelloides strain NCIMB 9242 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_118886.1 Pseudonocardia thermophila strain ATCC 19285 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_118898.1 Acidipropionibacterium thoenii strain DSM 20276 16S ribosomal RNA, partial sequence",1,0.8780221836955958,16S
"NR_118874.1 Renibacterium salmoninarum strain Lea-1-74 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_118941.1 Streptococcus alactolyticus strain NCDO 1091 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_118937.1 Streptococcus anginosus strain NCTC 10713 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_115365.1 Streptomyces albus strain CSSP327 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_118884.1 Streptomyces brasiliensis strain DSM 43159 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_118934.1 Streptococcus downei MFe28 16S ribosomal RNA, partial sequence",1,0.9309607001506122,16S
"NR_118888.1 Saccharopolyspora erythraea NRRL 2338 16S ribosomal RNA, partial sequence",1,0.8810345809211901,16S
"NR_118887.1 Saccharopolyspora hirsuta strain ATCC 27875 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_118938.1 Streptococcus intermedius strain NCTC 11324 16S ribosomal RNA, partial sequence",1,0.7993949460215855,16S
"NR_118933.1 Streptococcus mutans strain NCTC 10449 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_118932.1 Streptococcus macacae strain NCTC 11558 16S ribosomal RNA, partial sequence",1,0.8207043983090878,16S
"NR_118918.1 Enterococcus saccharolyticus subsp. saccharolyticus ATCC 43076 strain NCDO 2594 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_118935.1 Streptococcus sobrinus strain DSM 20742 16S ribosomal RNA, partial sequence",1,1.0,16S
