Header,Source,Cluster,Confidence
"NR_118889.1 Amycolatopsis azurea strain NRRL 11412 16S ribosomal RNA, partial sequence",16S,1,1.0
"NR_118899.1 Actinomyces bovis strain DSM 43014 16S ribosomal RNA, partial sequence",16S,1,1.0
"NR_074334.1 Archaeoglobus fulgidus DSM 4304 16S ribosomal RNA, complete sequence >NR_118873.1 Archaeoglobus fulgidus DSM 4304 strain VC-16 16S ribosomal RNA, complete sequence >NR_119237.1 Archaeoglobus fulgidus DSM 4304 strain VC-16 16S ribosomal RNA, complete sequence",16S,1,1.0
"NR_118890.1 Actinokineospora fastidiosa strain ATCC 31181 16S ribosomal RNA, partial sequence",16S,1,1.0
"NR_044838.1 Atopobium minutum strain NCFB 2751 16S ribosomal RNA, partial sequence",16S,1,1.0
"NR_118908.1 Amycolatopsis methanolica 239 16S ribosomal RNA, partial sequence",16S,1,1.0
"NR_118900.1 Actinomyces naeslundii strain DSM 43013 16S ribosomal RNA, partial sequence",16S,1,1.0
"NR_044822.1 Pseudonocardia nitrificans strain IFAM 379 16S ribosomal RNA, partial sequence",16S,1,1.0
"NR_026088.1 Alloiococcus otitis strain NCFB 2890 16S ribosomal RNA, partial sequence",16S,1,1.0
"NR_026093.1 Lancefieldella parvula strain VPI 0546 16S ribosomal RNA, partial sequence",16S,1,1.0
"NR_037011.1 Aeromonas salmonicida subsp. achromogenes strain 6263/4/5 16S ribosomal RNA, partial sequence",16S,1,1.0
"NR_118949.1 Alkalihalobacillus alcalophilus ATCC 27647 = CGMCC 1.3604 strain DSM 485 16S ribosomal RNA, partial sequence",16S,1,1.0
"NR_118950.1 Bacillus amyloliquefaciens DSM 7 = ATCC 23350 16S ribosomal RNA, partial sequence",16S,1,1.0
"NR_118951.1 Schinkia azotoformans LMG 9581 strain ATCC 29788 16S ribosomal RNA, partial sequence",16S,1,0.8678765871552945
"NR_118952.1 Brevibacillus brevis strain NCIMB 9372 16S ribosomal RNA, partial sequence",16S,1,1.0
"NR_044824.1 Brochothrix campestris strain ATCC 43754 16S ribosomal RNA, partial sequence",16S,1,1.0
"NR_118953.1 Niallia circulans strain NCDO 1775 16S ribosomal RNA, partial sequence",16S,1,1.0
"NR_118954.1 Heyndrickxia coagulans strain NCDO 1761 16S ribosomal RNA, partial sequence",16S,1,1.0
"NR_118955.1 Cytobacillus firmus strain NCIMB 9366 16S ribosomal RNA, partial sequence",16S,1,1.0
"NR_118970.1 Psychrobacillus insolitus strain DSM 5 16S ribosomal RNA, partial sequence",16S,1,1.0
"NR_118956.1 Paenibacillus larvae strain ATCC 9545 16S ribosomal RNA, partial sequence",16S,1,1.0
"NR_118957.1 Brevibacillus laterosporus strain NCDO 1763 16S ribosomal RNA, partial sequence",16S,-1,0.0
"NR_118948.1 Lederbergia lenta strain NCDO 1127 16S ribosomal RNA, partial sequence",16S,1,0.7043250946630198
"NR_118959.1 Bacillus licheniformis strain NCDO 1772 16S ribosomal RNA, partial sequence",16S,1,1.0
"NR_118960.1 Paenibacillus macerans strain NCDO 1764 16S ribosomal RNA, partial sequence",16S,1,0.8916278212252284
"NR_118962.1 Priestia megaterium strain DSM 32 16S ribosomal RNA, partial sequence",16S,1,0.9483480937974419
"NR_118961.1 Virgibacillus pantothenticus strain NCDO 1765 16S ribosomal RNA, partial sequence",16S,1,0.7287398623693699
"NR_118963.1 Sporosarcina pasteurii strain NCIMB 8841 16S ribosomal RNA, partial sequence",16S,1,1.0
"NR_118965.1 Sporosarcina psychrophila strain ATCC 23304 16S ribosomal RNA, partial sequence",16S,1,0.8059790991611481
"NR_118966.1 Peribacillus psychrosaccharolyticus ATCC 23296 16S ribosomal RNA, partial sequence",16S,1,1.0
"NR_118967.1 Peribacillus simplex NBRC 15720 = DSM 1321 16S ribosomal RNA, partial sequence",16S,1,0.8748851460008792
"NR_118971.1 Bacillus smithii strain DSM 4216 16S ribosomal RNA, partial sequence",16S,1,1.0
"NR_118968.1 Geobacillus stearothermophilus strain NCDO 1768 16S ribosomal RNA, partial sequence",16S,1,0.7321242326735045
"NR_118972.1 Bacillus subtilis strain NCDO 1769 16S ribosomal RNA, partial sequence",16S,1,1.0
"NR_118969.1 Parageobacillus thermoglucosidasius strain ATCC 43742 16S ribosomal RNA, partial sequence",16S,-1,0.0
"NR_118906.1 Carnobacterium divergens strain NCDO 2763 16S ribosomal RNA, partial sequence",16S,1,1.0
"NR_118905.1 Carnobacterium gallinarum strain NCFB 2766 16S ribosomal RNA, partial sequence",16S,1,1.0
"NR_118907.1 Carnobacterium mobile strain NCFB 2765 16S ribosomal RNA, partial sequence",16S,1,0.9396707636978912
"NR_118924.1 Enterococcus columbae strain STR 345 16S ribosomal RNA, partial sequence",16S,1,1.0
"NR_027588.1 Fusobacterium gonidiaformans ATCC 25563 16S ribosomal RNA, partial sequence",16S,1,1.0
"NR_026084.1 Fusobacterium animalis strain NCTC 12276 16S ribosomal RNA, partial sequence >NR_117843.1 Fusobacterium animalis ATCC 51191 16S ribosomal RNA, partial sequence",16S,1,1.0
"NR_026083.1 Fusobacterium vincentii strain SOR 16S ribosomal RNA, partial sequence",16S,1,1.0
"NR_026085.1 Fusobacterium periodonticum strain EK1-15 16S ribosomal RNA, partial sequence",16S,1,1.0
"NR_176801.1 Fusobacterium russii strain ATCC 25533 16S ribosomal RNA, partial sequence",16S,1,1.0
"NR_044820.1 Fusobacterium ulcerans strain NCTC 12111 16S ribosomal RNA, partial sequence",16S,1,1.0
"NR_118911.1 Gemmata obscuriglobus strain UQM 2246 16S ribosomal RNA, partial sequence",16S,1,1.0
