Header,Predicted_Cluster,Membership_Probability
"NR_115018.1 Pararhodobacter aggregans strain D1-19 16S ribosomal RNA, partial sequence",0,0.58656514
"NR_136488.1 Roseimarinus sediminis strain HF08 16S ribosomal RNA, partial sequence",0,0.7446186
"NR_074916.1 Geotalea daltonii FRC-32 16S ribosomal RNA, partial sequence",0,0.42592496
"NR_029228.1 Marinomonas vaga strain 40 16S ribosomal RNA, partial sequence",0,0.73143053
"NR_159227.1 Monoglobus pectinilyticus strain 14 16S ribosomal RNA, partial sequence",0,0.6898932
"NR_113193.1 Aureibacter tunicatorum strain A5Q-118 16S ribosomal RNA, partial sequence",0,0.6923274
"NR_134717.1 Deinococcus enclensis strain NIO-1023 16S ribosomal RNA, partial sequence",0,0.6200962
"NR_165782.1 Rhizobium glycinendophyticum strain CL12 16S ribosomal RNA, partial sequence",0,0.6424588
"NR_151952.1 Microlunatus nigridraconis strain CPCC 203993 16S ribosomal RNA, partial sequence",0,0.6991304
"NR_118377.1 Gardnerella vaginalis ATCC 14018 = JCM 11026 16S ribosomal RNA, partial sequence",0,0.73590183
"NR_132400.1 Geobacillus subterraneus subsp. aromaticivorans strain Ge1 16S ribosomal RNA, partial sequence",0,0.4175325
"NR_176602.1 Olisthonema eestii strain TAU-MAC 3318 16S ribosomal RNA, partial sequence",0,0.6147191
"NR_109389.1 Pelosinus fermentans DSM 17108 strain R7 16S ribosomal RNA, partial sequence",0,0.6817465
"NR_074902.1 Escherichia fergusonii ATCC 35469 16S ribosomal RNA, complete sequence",0,0.42296848
"NR_116831.1 Salisediminibacterium beveridgei strain MLTeJB 16S ribosomal RNA, partial sequence",0,0.73500204
"NR_036763.1 Alterococcus agarolyticus strain ADT3 16S ribosomal RNA, partial sequence",0,0.67583126
"NR_157660.1 Perlucidibaca aquatica strain BK296 16S ribosomal RNA, partial sequence",0,0.6476718
"NR_074946.1 Chlamydia caviae strain GPIC 16S ribosomal RNA, partial sequence",0,0.60799026
"NR_180817.1 Peptostreptococcus porci strain WCA-SAB-591-4A-A 16S ribosomal RNA, partial sequence",0,0.72105426
"NR_108486.1 Rhodopseudomonas harwoodiae strain JA531 16S ribosomal RNA, partial sequence",0,0.68819505
"NR_149806.1 Sinorhizobium shofinae strain CCBAU 251167 16S ribosomal RNA, partial sequence",0,0.57880944
"NR_109444.1 Maribacter chungangensis strain CAU 1044 16S ribosomal RNA, partial sequence",0,0.6660205
"NR_159333.1 Larkinella knui strain 15J6-3T6 16S ribosomal RNA, partial sequence",0,0.7408385
"NR_180364.1 Pseudorhodobacter turbinis strain S12M18 16S ribosomal RNA, partial sequence",0,0.7021378
"NR_180034.1 Halobacteriovorax vibrionivorans strain BL9 16S ribosomal RNA, partial sequence",0,0.61190134
"NR_029079.1 Brevibacterium antiquum strain VKM Ac-2118 16S ribosomal RNA, partial sequence",0,0.6895524
"NR_137340.1 Qipengyuania sediminis strain M1 16S ribosomal RNA, partial sequence",0,0.7439453
"NR_181673.1 Rahnella bonaserana strain H11b 16S ribosomal RNA, partial sequence",0,0.7345102
"NR_178827.1 Goekera deserti strain I12A-02624 16S ribosomal RNA, partial sequence",0,0.56074566
"NR_174315.1 Pseudarthrobacter psychrotolerans strain YJ56 16S ribosomal RNA, partial sequence",0,0.66000974
"NR_178357.1 Zooshikella rubidus S1-1 16S ribosomal RNA, partial sequence",0,0.6975832
"NR_043934.1 Azospirillum zeae strain N7 16S ribosomal RNA, partial sequence",0,0.6935754
"NR_179857.1 Flavobacterium davisii strain 90-106 16S ribosomal RNA, partial sequence",0,0.6906436
"NR_177843.1 Halotia branconii 16S ribosomal RNA, partial sequence",0,0.67043686
"NR_134032.1 Flavihumibacter solisilvae strain 3_3 16S ribosomal RNA, partial sequence",0,0.7084235
