Header,Cluster
"MH279652.1 Calohypsibius ornatus small subunit ribosomal RNA gene, partial sequence",1
"MF325755.1 Parvochelus russus small subunit ribosomal RNA gene, partial sequence",1
"FJ876973.1 Mesodinium pulex small subunit ribosomal RNA gene, partial sequence",1
"KY682881.1 Nitophyllum punctatum small subunit ribosomal RNA gene, partial sequence",1
"KY682880.1 Hemineura frondosa small subunit ribosomal RNA gene, partial sequence",1
"KY682879.1 Branchioglossum bipinnatifidum small subunit ribosomal RNA gene, partial sequence",1
"KY682878.1 Apoglossum spathulatum small subunit ribosomal RNA gene, partial sequence",1
"KY682877.1 Sonderopelta coriacea small subunit ribosomal RNA gene, partial sequence",1
"KY682876.1 Crouania mucosa small subunit ribosomal RNA gene, partial sequence",1
"KY682875.1 Cumathamnion serrulatum small subunit ribosomal RNA gene, partial sequence",1
"KY682872.1 Polyneuropsis stolonifera small subunit ribosomal RNA gene, partial sequence",1
"GQ912748.1 Pellobunus insularis small subunit ribosomal RNA gene, partial sequence",1
"GQ912740.1 Stygnoplus clavotibialis small subunit ribosomal RNA gene, partial sequence",1
"GQ912721.1 Fumontana deprehendor small subunit ribosomal RNA gene, partial sequence",1
"GQ912718.1 Theromaster brunnea small subunit ribosomal RNA gene, partial sequence",1
"GQ912717.1 Holoscotolemon jaqueti small subunit ribosomal RNA gene, partial sequence",1
"GQ912716.1 Erebomaster flavescens flavescens small subunit ribosomal RNA gene, partial sequence",1
"GQ912715.1 Anelasmocephalus cambridgei small subunit ribosomal RNA gene, partial sequence",1
"KY951739.1 Thaumastosoma diva small subunit ribosomal RNA gene, partial sequence",1
"KY951738.1 Ketosoma werneri small subunit ribosomal RNA gene, partial sequence",1
"KJ490643.1 Fereydounia khargensis IBRC-M 30116 small subunit ribosomal RNA gene, partial sequence",1
"KX889635.1 Euglena agilis MI71 small subunit ribosomal RNA gene, partial sequence",2
"KY235240.1 Gambierdiscus balechii small subunit ribosomal RNA gene, partial sequence",1
"KY235238.1 Gambierdiscus balechii small subunit ribosomal RNA gene, partial sequence",1
"KY235237.1 Gambierdiscus balechii small subunit ribosomal RNA gene, partial sequence",1
"KY235236.1 Gambierdiscus balechii small subunit ribosomal RNA gene, partial sequence",1
"KR673881.1 Ambrosiella batrae C3130 small subunit ribosomal RNA gene, partial sequence",1
"GQ849091.1 Carybdea arborifera small subunit ribosomal RNA gene, partial sequence",1
"GQ849082.1 Alatina alata small subunit ribosomal RNA gene, partial sequence",-1
"GQ849078.1 Chiropsalmus quadrumanus small subunit ribosomal RNA gene, partial sequence",1
"GQ849073.1 Chironex fleckeri small subunit ribosomal RNA gene, partial sequence",1
"EU247826.1 Halicreas minimum small subunit ribosomal RNA gene, partial sequence",1
"EU247818.1 Aglaura hemistoma small subunit ribosomal RNA gene, partial sequence",1
"EU247815.1 Craspedacusta sinensis small subunit ribosomal RNA gene, partial sequence",1
"EU247813.1 Aegina citrea small subunit ribosomal RNA gene, partial sequence",1
"EU247812.1 Solmundella bitentaculata small subunit ribosomal RNA gene, partial sequence",1
"AY823716.1 Cyanophora paradoxa UTEX 555 small subunit ribosomal RNA gene, partial sequence",1
"AY823715.1 Chlorokybus atmophyticus SAG 34.48 small subunit ribosomal RNA gene, partial sequence",1
"AY823714.1 Entransia fimbriata UTEX LB 2793 small subunit ribosomal RNA gene, partial sequence",1
"AY823713.1 Tolypella porteri X-907 small subunit ribosomal RNA gene, partial sequence",1
"AY220984.1 Cephaleuros virescens small subunit ribosomal RNA gene, partial sequence",1
"AY220983.1 Trentepohlia jolithus small subunit ribosomal RNA gene, partial sequence",1
"AF342751.1 Chroodactylon ornatum SAG B 103.79 small subunit ribosomal RNA gene, partial sequence",1
"AF342750.1 Rhodosorus marinus SAG 116.79 small subunit ribosomal RNA gene, partial sequence",1
"AF342744.1 Thorea violacea SAG 51.94 small subunit ribosomal RNA gene, partial sequence",1
"AF342743.1 Nemalionopsis tortuosa SAG B 42.94 small subunit ribosomal RNA gene, partial sequence",1
"KM373518.1 Amathia verticillata small subunit ribosomal RNA gene, partial sequence",1
"KM373512.1 Amathia citrina small subunit ribosomal RNA gene, partial sequence",1
"KX907172.1 Ocys tachysoides small subunit ribosomal RNA gene, partial sequence",1
"KT757460.1 Salpingoeca punica ATCC 50788 small subunit ribosomal RNA gene, partial sequence",1
"KT757492.1 Salpingoeca oahu small subunit ribosomal RNA gene, partial sequence",1
"KT757482.1 Salpingoeca macrocollata ATCC 50938 small subunit ribosomal RNA gene, partial sequence",1
"KT757514.1 Salpingoeca urceolata small subunit ribosomal RNA gene, partial sequence",1
"KT757508.1 Stephanoeca diplocostata small subunit ribosomal RNA gene, partial sequence",1
"KT757494.1 Salpingoeca kvevrii ATCC 50929 small subunit ribosomal RNA gene, partial sequence",1
"KT757487.1 Salpingoeca helianthica ATCC 50153 small subunit ribosomal RNA gene, partial sequence",1
"KT757477.1 Salpingoeca infusionum small subunit ribosomal RNA gene, partial sequence",1
"KT757448.1 Diaphanoeca grandis small subunit ribosomal RNA gene, partial sequence",1
"KT757444.1 Didymoeca costata small subunit ribosomal RNA gene, partial sequence",1
"KT757430.1 Codosiga hollandica small subunit ribosomal RNA gene, partial sequence",1
"KT757415.1 Acanthoeca spectabilis small subunit ribosomal RNA gene, partial sequence",1
"DQ235612.1 Erpobdella triannulata small subunit ribosomal RNA gene, partial sequence",1
"DQ235608.1 Barbronia arcana small subunit ribosomal RNA gene, partial sequence",1
"DQ235606.1 Erpobdella ochoterenai small subunit ribosomal RNA gene, partial sequence",1
"DQ235605.1 Erpobdella mexicana small subunit ribosomal RNA gene, partial sequence",1
"KU233696.1 Bembidion musae small subunit ribosomal RNA gene, partial sequence",1
"KU233695.1 Bembidarenas reicheellum small subunit ribosomal RNA gene, partial sequence",1
"GU214615.1 Teratosphaeria suttonii CPC 11279 small subunit ribosomal RNA gene, partial sequence",1
"GU214594.1 Staninwardia suttonii CPC 13055 small subunit ribosomal RNA gene, partial sequence",1
"GU214570.1 Pseudocercospora fijiensis X300 small subunit ribosomal RNA gene, partial sequence",1
"GU214562.1 Exopassalora zambiae CPC 1228 small subunit ribosomal RNA gene, partial sequence",1
"GU214518.1 Neocatenulostroma germanicum CBS 539.88 small subunit ribosomal RNA gene, partial sequence",1
"GU214517.1 Catenulostroma elginense CPC 1958 small subunit ribosomal RNA gene, partial sequence",1
"AY251093.2 Cladosporium cladosporioides STE-U 3682 small subunit ribosomal RNA gene, partial sequence",1
"FJ876982.1 Uronychia sinica small subunit ribosomal RNA gene, partial sequence",1
"KU975378.1 Alofia merki small subunit ribosomal RNA gene, partial sequence",1
"JN170245.1 Bembidion variegatum small subunit ribosomal RNA gene, partial sequence",1
"JN170220.1 Bembidion proprium small subunit ribosomal RNA gene, partial sequence",1
"JN170204.1 Bembidion mimekara small subunit ribosomal RNA gene, partial sequence",1
"JN170187.1 Bembidion interventor small subunit ribosomal RNA gene, partial sequence",1
