Header,Cluster,Confidence
"GQ849082.1 Alatina alata small subunit ribosomal RNA gene, partial sequence",-1,0.0
"KJ680556.1 Kentrophyllum verrucosum small subunit ribosomal RNA gene, partial sequence",-1,0.0
"KF744084.1 Phacus paraorbicularis Dongbakdongsan060609D small subunit ribosomal RNA gene, partial sequence",-1,0.0
"AY688729.1 Reboulia hemisphaerica small subunit ribosomal RNA gene, partial sequence",-1,0.0
"FJ981823.1 Tetracapsuloides bryosalmonae small subunit ribosomal RNA gene, partial sequence",-1,0.0
"EF093787.1 Carabodes coriaceus small subunit ribosomal RNA gene, partial sequence",-1,0.0
"EF093783.1 Eupelops hirtus small subunit ribosomal RNA gene, partial sequence",-1,0.0
"GU067681.1 Pleomothra apletocheles small subunit ribosomal RNA gene, partial sequence",-1,0.0
"AY627028.1 Clavella addunca small subunit ribosomal RNA gene, partial sequence",-1,0.0
"DQ234543.1 Kondoa yuccicola CBS 7331 small subunit ribosomal RNA gene, complete sequence",-1,0.0
"AY587129.1 Myrionecta rubra small subunit ribosomal RNA gene, partial sequence",-1,0.0
"U70959.1 Leifidium tenerum small subunit ribosomal RNA gene, partial sequence",-1,0.0
"AF083398.1 Bumilleriopsis filiformis UTEX 309 small subunit ribosomal RNA gene, partial sequence",-1,0.0
"JF699578.1 Paracassidinopsis perlata small subunit ribosomal RNA gene, partial sequence",-1,0.0
"MH348777.1 Merocystis kathae small subunit ribosomal RNA gene, partial sequence",-1,0.0
"MF434114.1 Opalina undulata small subunit ribosomal RNA gene, partial sequence",-1,0.0
"AB088316.1 Alexandrium tamiyavanichii TAMI22012 small subunit ribosomal RNA gene, complete sequence",-1,0.0
"KY922181.1 Harpyrhynchoides zumpti small subunit ribosomal RNA gene, partial sequence",-1,0.0
"LC052377.1 Aonchotheca riukiuensis small subunit ribosomal RNA gene, partial sequence",-1,0.0
"LC052375.1 Capillaria suis small subunit ribosomal RNA gene, partial sequence",-1,0.0
"MF373812.1 Pseudotrichonympha lifesoni small subunit ribosomal RNA gene, partial sequence",-1,0.0
"AY070122.1 Pholas dactylus small subunit ribosomal RNA gene, partial sequence",-1,0.0
"KY886364.1 Brachionus calyciflorus small subunit ribosomal RNA gene, partial sequence",-1,0.0
"JQ690364.1 Myxobolus turpisrotundus small subunit ribosomal RNA gene, partial sequence",-1,0.0
"AY523032.1 Euglena stellata Michigan (MI) 09 small subunit ribosomal RNA gene, partial sequence",-1,0.0
"AY221723.1 Cyclotella meneghiniana SAG 1020-1a small subunit ribosomal RNA gene, partial sequence",-1,0.0
"KX856814.1 Orphnurgus glaber small subunit ribosomal RNA gene, partial sequence",-1,0.0
"KX792202.1 Syllis pectinans small subunit ribosomal RNA gene, partial sequence",-1,0.0
"KX695155.1 Bothrioplana sinensis small subunit ribosomal RNA gene, partial sequence",-1,0.0
"KX713311.1 Martesia striata small subunit ribosomal RNA gene, partial sequence",-1,0.0
"JX481312.1 Trichia alpina small subunit ribosomal RNA gene, partial sequence",-1,0.0
"JX481303.1 Metatrichia vesparium small subunit ribosomal RNA gene, partial sequence",-1,0.0
"KX665409.1 Orthopyxis sargassicola small subunit ribosomal RNA gene, partial sequence",-1,0.0
"LN875144.1 Nuclearia delicatula small subunit ribosomal RNA gene, partial sequence",-1,0.0
"LN875116.1 Nuclearia delicatula D4 Consensus small subunit ribosomal RNA gene, partial sequence",-1,0.0
"KU167832.1 Rhodotorula mucilaginosa small subunit ribosomal RNA gene, partial sequence",-1,0.0
"KU728177.1 Sorodiplophrys stercorea small subunit ribosomal RNA gene, partial sequence",-1,0.0
"JF903591.1 Erinaceusyllis horrockensis small subunit ribosomal RNA gene, partial sequence",-1,0.0
"JF903589.1 Erinaceusyllis bidentata small subunit ribosomal RNA gene, partial sequence",-1,0.0
