Header,Cluster
"NR_118889.1 Amycolatopsis azurea strain NRRL 11412 16S ribosomal RNA, partial sequence",-1
"NR_118899.1 Actinomyces bovis strain DSM 43014 16S ribosomal RNA, partial sequence",-1
"NR_074334.1 Archaeoglobus fulgidus DSM 4304 16S ribosomal RNA, complete sequence >NR_118873.1 Archaeoglobus fulgidus DSM 4304 strain VC-16 16S ribosomal RNA, complete sequence >NR_119237.1 Archaeoglobus fulgidus DSM 4304 strain VC-16 16S ribosomal RNA, complete sequence",-1
"NR_118890.1 Actinokineospora fastidiosa strain ATCC 31181 16S ribosomal RNA, partial sequence",0
"NR_044838.1 Atopobium minutum strain NCFB 2751 16S ribosomal RNA, partial sequence",0
"NR_118908.1 Amycolatopsis methanolica 239 16S ribosomal RNA, partial sequence",0
"NR_118900.1 Actinomyces naeslundii strain DSM 43013 16S ribosomal RNA, partial sequence",0
"NR_044822.1 Pseudonocardia nitrificans strain IFAM 379 16S ribosomal RNA, partial sequence",0
"NR_026088.1 Alloiococcus otitis strain NCFB 2890 16S ribosomal RNA, partial sequence",0
"NR_026093.1 Lancefieldella parvula strain VPI 0546 16S ribosomal RNA, partial sequence",-1
"NR_037011.1 Aeromonas salmonicida subsp. achromogenes strain 6263/4/5 16S ribosomal RNA, partial sequence",0
"NR_118949.1 Alkalihalobacillus alcalophilus ATCC 27647 = CGMCC 1.3604 strain DSM 485 16S ribosomal RNA, partial sequence",0
"NR_118950.1 Bacillus amyloliquefaciens DSM 7 = ATCC 23350 16S ribosomal RNA, partial sequence",0
"NR_118951.1 Schinkia azotoformans LMG 9581 strain ATCC 29788 16S ribosomal RNA, partial sequence",-1
"NR_118952.1 Brevibacillus brevis strain NCIMB 9372 16S ribosomal RNA, partial sequence",0
"NR_044824.1 Brochothrix campestris strain ATCC 43754 16S ribosomal RNA, partial sequence",0
"NR_118953.1 Niallia circulans strain NCDO 1775 16S ribosomal RNA, partial sequence",0
"NR_118954.1 Heyndrickxia coagulans strain NCDO 1761 16S ribosomal RNA, partial sequence",0
"NR_118955.1 Cytobacillus firmus strain NCIMB 9366 16S ribosomal RNA, partial sequence",0
"NR_118970.1 Psychrobacillus insolitus strain DSM 5 16S ribosomal RNA, partial sequence",0
"NR_118956.1 Paenibacillus larvae strain ATCC 9545 16S ribosomal RNA, partial sequence",0
"NR_118957.1 Brevibacillus laterosporus strain NCDO 1763 16S ribosomal RNA, partial sequence",-1
"NR_118948.1 Lederbergia lenta strain NCDO 1127 16S ribosomal RNA, partial sequence",-1
"NR_118959.1 Bacillus licheniformis strain NCDO 1772 16S ribosomal RNA, partial sequence",0
